Remark,Title=CSV File
Remark,Date=2026-4-23-13:41:3.93
Remark,Version=Ver3.1
Remark,PLC Name=LSPLC
Remark,CPU Type=XGI-CPUUN
Remark,EIP GUID=e409e8f1-f05b-43de-b79a-1fe0b8b320d2
Remark,EIP OnlineWrite=0
Tag,Flag\System,"_HS_ENABLE_STATE[3]",%FX15843,"BOOL",R,"고속링크 enable/disable 현재상태[4]"
Tag,Flag\System,"_HS_ENABLE_STATE[4]",%FX15844,"BOOL",R,"고속링크 enable/disable 현재상태[5]"
Tag,Flag\System,"_HS_ENABLE_STATE[5]",%FX15845,"BOOL",R,"고속링크 enable/disable 현재상태[6]"
Tag,Flag\System,"_HS_ENABLE_STATE[6]",%FX15846,"BOOL",R,"고속링크 enable/disable 현재상태[7]"
Tag,Flag\System,"_HS_ENABLE_STATE[7]",%FX15847,"BOOL",R,"고속링크 enable/disable 현재상태[8]"
Tag,Flag\System,"_HS_ENABLE_STATE[8]",%FX15848,"BOOL",R,"고속링크 enable/disable 현재상태[9]"
Tag,Flag\System,"_HS_ENABLE_STATE[9]",%FX15849,"BOOL",R,"고속링크 enable/disable 현재상태[10]"
Tag,Flag\System,"_HS_ENABLE_STATE[10]",%FX15850,"BOOL",R,"고속링크 enable/disable 현재상태[11]"
Tag,Flag\System,"_HS_ENABLE_STATE[11]",%FX15851,"BOOL",R,"고속링크 enable/disable 현재상태[12]"
Tag,Flag\System,"_HS_REQ[0]",%FX16480,"BOOL",,"고속링크 enable/disable 요청[1]"
Tag,Flag\System,"_HS_REQ[1]",%FX16481,"BOOL",,"고속링크 enable/disable 요청[2]"
Tag,Flag\System,"_HS_REQ[2]",%FX16482,"BOOL",,"고속링크 enable/disable 요청[3]"
Tag,Flag\System,"_HS_REQ[3]",%FX16483,"BOOL",,"고속링크 enable/disable 요청[4]"
Tag,Flag\System,"_HS_REQ[4]",%FX16484,"BOOL",,"고속링크 enable/disable 요청[5]"
Tag,Flag\System,"_HS_REQ[5]",%FX16485,"BOOL",,"고속링크 enable/disable 요청[6]"
Tag,Flag\System,"_HS_REQ[6]",%FX16486,"BOOL",,"고속링크 enable/disable 요청[7]"
Tag,Flag\System,"_HS_REQ[7]",%FX16487,"BOOL",,"고속링크 enable/disable 요청[8]"
Tag,Flag\System,"_HS_REQ[8]",%FX16488,"BOOL",,"고속링크 enable/disable 요청[9]"
Tag,Flag\System,"_HS_REQ[9]",%FX16489,"BOOL",,"고속링크 enable/disable 요청[10]"
Tag,Flag\System,"_HS_REQ[10]",%FX16490,"BOOL",,"고속링크 enable/disable 요청[11]"
Tag,Flag\System,"_HS_REQ[11]",%FX16491,"BOOL",,"고속링크 enable/disable 요청[12]"
Tag,Flag\System,"_HS_REQ_NUM[0]",%FX16496,"BOOL",,"고속링크 enable/disable 설정[1]"
Tag,Flag\System,"_HS_REQ_NUM[1]",%FX16497,"BOOL",,"고속링크 enable/disable 설정[2]"
Tag,Flag\System,"_HS_REQ_NUM[2]",%FX16498,"BOOL",,"고속링크 enable/disable 설정[3]"
Tag,Flag\System,"_HS_REQ_NUM[3]",%FX16499,"BOOL",,"고속링크 enable/disable 설정[4]"
Tag,Flag\System,"_HS_REQ_NUM[4]",%FX16500,"BOOL",,"고속링크 enable/disable 설정[5]"
Tag,Flag\System,"_HS_REQ_NUM[5]",%FX16501,"BOOL",,"고속링크 enable/disable 설정[6]"
Tag,Flag\System,"_HS_REQ_NUM[6]",%FX16502,"BOOL",,"고속링크 enable/disable 설정[7]"
Tag,Flag\System,"_HS_REQ_NUM[7]",%FX16503,"BOOL",,"고속링크 enable/disable 설정[8]"
Tag,Flag\System,"_HS_REQ_NUM[8]",%FX16504,"BOOL",,"고속링크 enable/disable 설정[9]"
Tag,Flag\System,"_HS_REQ_NUM[9]",%FX16505,"BOOL",,"고속링크 enable/disable 설정[10]"
Tag,Flag\System,"_HS_REQ_NUM[10]",%FX16506,"BOOL",,"고속링크 enable/disable 설정[11]"
Tag,Flag\System,"_HS_REQ_NUM[11]",%FX16507,"BOOL",,"고속링크 enable/disable 설정[12]"
Tag,Flag\System,"_P2P_ENABLE_STATE[0]",%FX15872,"BOOL",R,"P2P enable/disable 현재상태[1]"
Tag,Flag\System,"_P2P_ENABLE_STATE[1]",%FX15873,"BOOL",R,"P2P enable/disable 현재상태[2]"
Tag,Flag\System,"_P2P_ENABLE_STATE[2]",%FX15874,"BOOL",R,"P2P enable/disable 현재상태[3]"
Tag,Flag\System,"_P2P_ENABLE_STATE[3]",%FX15875,"BOOL",R,"P2P enable/disable 현재상태[4]"
Tag,Flag\System,"_P2P_ENABLE_STATE[4]",%FX15876,"BOOL",R,"P2P enable/disable 현재상태[5]"
Tag,Flag\System,"_P2P_ENABLE_STATE[5]",%FX15877,"BOOL",R,"P2P enable/disable 현재상태[6]"
Tag,Flag\System,"_P2P_ENABLE_STATE[6]",%FX15878,"BOOL",R,"P2P enable/disable 현재상태[7]"
Tag,Flag\System,"_P2P_ENABLE_STATE[7]",%FX15879,"BOOL",R,"P2P enable/disable 현재상태[8]"
Tag,Flag\System,"_P2P_REQ[0]",%FX16512,"BOOL",,"P2P enable/disable 요청[1]"
Tag,Flag\System,"_P2P_REQ[1]",%FX16513,"BOOL",,"P2P enable/disable 요청[2]"
Tag,Flag\System,"_P2P_REQ[2]",%FX16514,"BOOL",,"P2P enable/disable 요청[3]"
Tag,Flag\System,"_P2P_REQ[3]",%FX16515,"BOOL",,"P2P enable/disable 요청[4]"
Tag,Flag\System,"_P2P_REQ[4]",%FX16516,"BOOL",,"P2P enable/disable 요청[5]"
Tag,Flag\System,"_P2P_REQ[5]",%FX16517,"BOOL",,"P2P enable/disable 요청[6]"
Tag,Flag\System,"_P2P_REQ[6]",%FX16518,"BOOL",,"P2P enable/disable 요청[7]"
Tag,Flag\System,"_P2P_REQ[7]",%FX16519,"BOOL",,"P2P enable/disable 요청[8]"
Tag,Flag\System,"_P2P_REQ_NUM[0]",%FX16528,"BOOL",,"P2P enable/disable 설정[1]"
Tag,Flag\System,"_P2P_REQ_NUM[1]",%FX16529,"BOOL",,"P2P enable/disable 설정[2]"
Tag,Flag\System,"_P2P_REQ_NUM[2]",%FX16530,"BOOL",,"P2P enable/disable 설정[3]"
Tag,Flag\System,"_P2P_REQ_NUM[3]",%FX16531,"BOOL",,"P2P enable/disable 설정[4]"
Tag,Flag\System,"_P2P_REQ_NUM[4]",%FX16532,"BOOL",,"P2P enable/disable 설정[5]"
Tag,Flag\System,"_P2P_REQ_NUM[5]",%FX16533,"BOOL",,"P2P enable/disable 설정[6]"
